processo: 491, tentativas: 6, sucesso: 3
processo: 429, tentativas: 2, sucesso: 1
processo: 779, tentativas: 2, sucesso: 1
processo: 996, tentativas: 8, sucesso: 1
processo: 437, tentativas: 8, sucesso: 4
processo: 933, tentativas: 5, sucesso: 1
processo: 425, tentativas: 2, sucesso: 1
processo: 957, tentativas: 1, sucesso: 0
processo: 554, tentativas: 8, sucesso: 0
processo: 319, tentativas: 3, sucesso: 1
processo: 736, tentativas: 5, sucesso: 1
processo: 706, tentativas: 4, sucesso: 0
processo: 600, tentativas: 7, sucesso: 2
processo: 207, tentativas: 6, sucesso: 1
processo: 362, tentativas: 3, sucesso: 2
processo: 880, tentativas: 3, sucesso: 2
processo: 762, tentativas: 4, sucesso: 1
processo: 493, tentativas: 2, sucesso: 0
processo: 839, tentativas: 2, sucesso: 0
processo: 338, tentativas: 8, sucesso: 1
processo: 293, tentativas: 4, sucesso: 0
processo: 665, tentativas: 4, sucesso: 2
processo: 307, tentativas: 4, sucesso: 3
processo: 542, tentativas: 2, sucesso: 0
processo: 579, tentativas: 6, sucesso: 0
processo: 719, tentativas: 9, sucesso: 4
processo: 204, tentativas: 1, sucesso: 0
processo: 797, tentativas: 2, sucesso: 1
processo: 80, tentativas: 4, sucesso: 1
processo: 998, tentativas: 2, sucesso: 0
processo: 853, tentativas: 5, sucesso: 2
processo: 534, tentativas: 4, sucesso: 0
processo: 944, tentativas: 5, sucesso: 1
processo: 769, tentativas: 2, sucesso: 0
processo: 965, tentativas: 3, sucesso: 1
processo: 280, tentativas: 8, sucesso: 4
processo: 470, tentativas: 5, sucesso: 0
processo: 828, tentativas: 4, sucesso: 1
processo: 901, tentativas: 2, sucesso: 1
processo: 544, tentativas: 2, sucesso: 1
processo: 939, tentativas: 3, sucesso: 1
processo: 866, tentativas: 1, sucesso: 0
processo: 404, tentativas: 1, sucesso: 0
processo: 961, tentativas: 11, sucesso: 2
processo: 203, tentativas: 3, sucesso: 1
processo: 367, tentativas: 5, sucesso: 0
processo: 391, tentativas: 9, sucesso: 2
processo: 296, tentativas: 4, sucesso: 0
processo: 166, tentativas: 1, sucesso: 0
processo: 512, tentativas: 2, sucesso: 0
processo: 881, tentativas: 4, sucesso: 2
processo: 268, tentativas: 6, sucesso: 2
processo: 152, tentativas: 9, sucesso: 1
processo: 286, tentativas: 1, sucesso: 0
processo: 219, tentativas: 4, sucesso: 0
processo: 514, tentativas: 8, sucesso: 2
processo: 467, tentativas: 5, sucesso: 1
processo: 463, tentativas: 7, sucesso: 1
processo: 202, tentativas: 3, sucesso: 1
processo: 212, tentativas: 1, sucesso: 0
processo: 118, tentativas: 4, sucesso: 0
processo: 347, tentativas: 14, sucesso: 0
processo: 681, tentativas: 3, sucesso: 0
processo: 303, tentativas: 7, sucesso: 0
processo: 638, tentativas: 5, sucesso: 4
processo: 821, tentativas: 2, sucesso: 0
processo: 410, tentativas: 2, sucesso: 0
processo: 162, tentativas: 1, sucesso: 0
processo: 480, tentativas: 5, sucesso: 0
processo: 785, tentativas: 1, sucesso: 0
processo: 645, tentativas: 16, sucesso: 2
processo: 649, tentativas: 8, sucesso: 1
processo: 975, tentativas: 5, sucesso: 2
processo: 962, tentativas: 1, sucesso: 0
processo: 428, tentativas: 3, sucesso: 1
processo: 663, tentativas: 2, sucesso: 0
processo: 32, tentativas: 5, sucesso: 1
processo: 669, tentativas: 15, sucesso: 1
processo: 507, tentativas: 3, sucesso: 0
processo: 304, tentativas: 3, sucesso: 1
processo: 328, tentativas: 8, sucesso: 2
processo: 403, tentativas: 3, sucesso: 0
processo: 937, tentativas: 1, sucesso: 0
processo: 945, tentativas: 6, sucesso: 2
processo: 372, tentativas: 5, sucesso: 2
processo: 271, tentativas: 2, sucesso: 0
processo: 563, tentativas: 7, sucesso: 0
processo: 833, tentativas: 5, sucesso: 1
processo: 456, tentativas: 4, sucesso: 2
processo: 639, tentativas: 2, sucesso: 0
processo: 405, tentativas: 4, sucesso: 2
processo: 827, tentativas: 12, sucesso: 2
processo: 389, tentativas: 7, sucesso: 4
processo: 209, tentativas: 3, sucesso: 0
processo: 138, tentativas: 7, sucesso: 3
processo: 217, tentativas: 1, sucesso: 0
processo: 549, tentativas: 3, sucesso: 1
processo: 571, tentativas: 11, sucesso: 1
processo: 727, tentativas: 13, sucesso: 6
processo: 426, tentativas: 3, sucesso: 0
processo: 817, tentativas: 1, sucesso: 0
processo: 506, tentativas: 5, sucesso: 1
processo: 684, tentativas: 4, sucesso: 2
processo: 439, tentativas: 9, sucesso: 2
processo: 566, tentativas: 5, sucesso: 2
processo: 711, tentativas: 1, sucesso: 0
processo: 898, tentativas: 4, sucesso: 2
processo: 924, tentativas: 3, sucesso: 2
processo: 974, tentativas: 9, sucesso: 0
processo: 912, tentativas: 3, sucesso: 1
processo: 654, tentativas: 2, sucesso: 1
processo: 826, tentativas: 13, sucesso: 0
processo: 182, tentativas: 2, sucesso: 0
processo: 230, tentativas: 7, sucesso: 0
processo: 340, tentativas: 1, sucesso: 0
processo: 662, tentativas: 9, sucesso: 1
processo: 461, tentativas: 7, sucesso: 2
processo: 290, tentativas: 3, sucesso: 1
processo: 298, tentativas: 15, sucesso: 3
processo: 744, tentativas: 7, sucesso: 0
processo: 687, tentativas: 7, sucesso: 0
processo: 890, tentativas: 2, sucesso: 0
processo: 91, tentativas: 5, sucesso: 0
processo: 753, tentativas: 4, sucesso: 2
processo: 569, tentativas: 3, sucesso: 1
processo: 418, tentativas: 4, sucesso: 1
processo: 299, tentativas: 2, sucesso: 0
processo: 263, tentativas: 8, sucesso: 1
processo: 276, tentativas: 1, sucesso: 0
processo: 737, tentativas: 1, sucesso: 0
processo: 888, tentativas: 5, sucesso: 2
processo: 952, tentativas: 11, sucesso: 4
processo: 810, tentativas: 4, sucesso: 0
processo: 664, tentativas: 16, sucesso: 4
processo: 679, tentativas: 5, sucesso: 4
processo: 981, tentativas: 5, sucesso: 2
processo: 95, tentativas: 2, sucesso: 0
processo: 11, tentativas: 2, sucesso: 0
processo: 647, tentativas: 1, sucesso: 0
processo: 985, tentativas: 2, sucesso: 0
processo: 161, tentativas: 2, sucesso: 1
processo: 326, tentativas: 3, sucesso: 0
processo: 497, tentativas: 3, sucesso: 2
processo: 978, tentativas: 7, sucesso: 1
processo: 41, tentativas: 19, sucesso: 1
processo: 523, tentativas: 4, sucesso: 3
processo: 536, tentativas: 9, sucesso: 0
processo: 430, tentativas: 6, sucesso: 1
processo: 201, tentativas: 9, sucesso: 2
processo: 147, tentativas: 10, sucesso: 1
processo: 468, tentativas: 5, sucesso: 1
processo: 341, tentativas: 13, sucesso: 3
processo: 691, tentativas: 2, sucesso: 0
processo: 292, tentativas: 4, sucesso: 2
processo: 972, tentativas: 1, sucesso: 0
processo: 486, tentativas: 4, sucesso: 3
processo: 722, tentativas: 4, sucesso: 3
processo: 674, tentativas: 2, sucesso: 0
processo: 448, tentativas: 5, sucesso: 2
processo: 423, tentativas: 5, sucesso: 0
processo: 73, tentativas: 3, sucesso: 0
processo: 702, tentativas: 5, sucesso: 2
processo: 482, tentativas: 1, sucesso: 0
processo: 321, tentativas: 3, sucesso: 1
processo: 274, tentativas: 9, sucesso: 0
processo: 879, tentativas: 3, sucesso: 1
processo: 987, tentativas: 3, sucesso: 0
processo: 907, tentativas: 9, sucesso: 0
processo: 373, tentativas: 4, sucesso: 3
processo: 498, tentativas: 5, sucesso: 4
processo: 401, tentativas: 13, sucesso: 0
processo: 701, tentativas: 6, sucesso: 0
processo: 502, tentativas: 1, sucesso: 0
processo: 914, tentativas: 5, sucesso: 1
processo: 34, tentativas: 3, sucesso: 0
processo: 157, tentativas: 11, sucesso: 3
processo: 169, tentativas: 8, sucesso: 0
processo: 859, tentativas: 7, sucesso: 2
processo: 834, tentativas: 6, sucesso: 0
processo: 836, tentativas: 6, sucesso: 4
processo: 824, tentativas: 4, sucesso: 3
processo: 395, tentativas: 5, sucesso: 2
processo: 210, tentativas: 11, sucesso: 5
processo: 936, tentativas: 1, sucesso: 0
processo: 149, tentativas: 3, sucesso: 1
processo: 521, tentativas: 4, sucesso: 1
processo: 559, tentativas: 4, sucesso: 0
processo: 08, tentativas: 2, sucesso: 0
processo: 635, tentativas: 5, sucesso: 3
processo: 735, tentativas: 1, sucesso: 0
processo: 265, tentativas: 5, sucesso: 0
processo: 501, tentativas: 3, sucesso: 2
processo: 904, tentativas: 6, sucesso: 0
processo: 646, tentativas: 9, sucesso: 3
processo: 809, tentativas: 6, sucesso: 2
processo: 788, tentativas: 4, sucesso: 0
processo: 580, tentativas: 10, sucesso: 1
processo: 911, tentativas: 5, sucesso: 1
processo: 273, tentativas: 3, sucesso: 2
processo: 357, tentativas: 2, sucesso: 1
processo: 755, tentativas: 15, sucesso: 2
processo: 220, tentativas: 5, sucesso: 0
processo: 359, tentativas: 1, sucesso: 0
processo: 976, tentativas: 1, sucesso: 0
processo: 240, tentativas: 6, sucesso: 3
processo: 344, tentativas: 2, sucesso: 0
processo: 186, tentativas: 7, sucesso: 0
processo: 928, tentativas: 3, sucesso: 1
processo: 237, tentativas: 1, sucesso: 0
processo: 766, tentativas: 4, sucesso: 1
processo: 680, tentativas: 4, sucesso: 2
processo: 979, tentativas: 2, sucesso: 0
processo: 09, tentativas: 6, sucesso: 0
processo: 20, tentativas: 2, sucesso: 0
processo: 593, tentativas: 3, sucesso: 1
processo: 615, tentativas: 2, sucesso: 0
processo: 449, tentativas: 6, sucesso: 0
processo: 887, tentativas: 10, sucesso: 0
processo: 163, tentativas: 5, sucesso: 1
processo: 432, tentativas: 9, sucesso: 4
processo: 90, tentativas: 7, sucesso: 1
processo: 402, tentativas: 3, sucesso: 2
processo: 84, tentativas: 12, sucesso: 0
processo: 369, tentativas: 4, sucesso: 1
processo: 504, tentativas: 7, sucesso: 1
processo: 659, tentativas: 18, sucesso: 3
processo: 262, tentativas: 3, sucesso: 0
processo: 668, tentativas: 1, sucesso: 0
processo: 245, tentativas: 2, sucesso: 1
processo: 804, tentativas: 14, sucesso: 6
processo: 309, tentativas: 11, sucesso: 4
processo: 495, tentativas: 9, sucesso: 3
processo: 917, tentativas: 4, sucesso: 1
processo: 989, tentativas: 4, sucesso: 0
processo: 18, tentativas: 2, sucesso: 0
processo: 447, tentativas: 2, sucesso: 0
processo: 707, tentativas: 6, sucesso: 0
processo: 49, tentativas: 2, sucesso: 0
processo: 433, tentativas: 4, sucesso: 1
processo: 140, tentativas: 2, sucesso: 0
processo: 97, tentativas: 2, sucesso: 0
processo: 431, tentativas: 14, sucesso: 3
processo: 591, tentativas: 3, sucesso: 1
processo: 870, tentativas: 6, sucesso: 3
processo: 622, tentativas: 9, sucesso: 2
processo: 443, tentativas: 7, sucesso: 0
processo: 339, tentativas: 5, sucesso: 1
processo: 176, tentativas: 6, sucesso: 3
processo: 215, tentativas: 2, sucesso: 0
processo: 574, tentativas: 2, sucesso: 1
processo: 801, tentativas: 4, sucesso: 3
processo: 773, tentativas: 4, sucesso: 1
processo: 819, tentativas: 1, sucesso: 0
processo: 88, tentativas: 5, sucesso: 2
processo: 399, tentativas: 5, sucesso: 0
processo: 441, tentativas: 2, sucesso: 0
processo: 524, tentativas: 3, sucesso: 1
processo: 956, tentativas: 5, sucesso: 1
processo: 444, tentativas: 6, sucesso: 2
processo: 85, tentativas: 5, sucesso: 0
processo: 381, tentativas: 6, sucesso: 0
processo: 860, tentativas: 1, sucesso: 0
